Video Name,Positive,Negative,Neutral,Total Comments,Final Sentiment
-7e6g11BJc0,286,178,207,671,Positive
yfLz54hzpPs,28,11,22,61,Positive
z5fcvlWdfdA,31,47,67,145,Neutral
zDHBioJ-jQ8,11,8,18,37,Neutral
zN8naTqX3TI,0,0,0,1,No Comment
