youtube_id,source_url,reason
512077183,https://www.superbowl-ads.com/superbowl-ads-com-top-5-ads-of-2021-super-bowl-lv/,No video details found
aaC457-XO9M,https://www.superbowl-ads.com/2021-huggies-welcome-to-the-world-baby/,No video details found
505846138,https://www.superbowl-ads.com/2021-weathertech-we-never-left/,No video details found
505846094,https://www.superbowl-ads.com/2021-weathertech-family/,No video details found
haXc74orwhg,https://www.superbowl-ads.com/2021-vroom-dealership-pain/,No video details found
